% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=948845, Mon Dec  9 13:29:48 2019, <python>{}</python>
1 11 0.9849252967823516 1.000045455578528 -1.3229599002737924 -1.3229599002737924e+00 -0.2983439809133472 1.9300952266001579   
2 22 1.0628687258002718 1.2087348133589622 -3.07139662650372 -3.0713966265037200e+00 -1.061639852366575 1.308744967201054   
3 33 1.1565078078978732 1.364121370298198 -3.7618600513897436 -3.7618600513897436e+00 -2.172800933982322 -1.1684747624097325   
4 44 1.3904546338246704 1.408109600577911 -6.301567053313292 -6.3015670533132919e+00 -4.1105241265065615 -1.8390453442123764   
5 55 1.559092264239122 1.489635094880795 -7.628340790173088 -7.6283407901730884e+00 -5.300749490472698 -2.2284899097275854   
6 66 1.767679578928297 1.4708715200738292 -8.752912304770256 -8.7529123047702555e+00 -7.717230040500038 -3.3113275723157463   
7 77 2.081672560187365 1.541441040315856 -11.437923434562904 -1.1437923434562904e+01 -8.625108428723006 -6.682550452835133   
8 88 2.495514407895121 1.660875941332916 -14.852956320909728 -1.4852956320909728e+01 -10.753999225934008 -4.887515488303259   
9 99 3.097154436524267 1.723214032688652 -22.490755046338357 -2.2490755046338357e+01 -12.484619793588699 -6.938352552584142   
10 110 3.9373468852963964 1.7844466196692677 -27.762187971169 -2.7762187971168999e+01 -18.985429355271666 -11.139068513746933   
11 121 5.38495786315026 1.7913206351708864 -38.45983231636097 -3.8459832316360973e+01 -27.166061776740776 -20.37192870199346   
12 132 6.562406520606024 1.823065973546978 -41.60061321987728 -4.1600613219877282e+01 -27.422444211959245 -21.29429582000423   
13 143 8.061884847983906 1.7988376081902568 -54.08296899785827 -5.4082968997858273e+01 -38.50369187972956 -28.7295600995564   
14 154 10.181172239891309 1.836759986230284 -67.64916646253451 -6.7649166462534509e+01 -48.99593953271942 -37.23984635155337   
15 165 12.353405460293402 1.8341745473917572 -79.783639925551 -7.9783639925551000e+01 -69.14502204734107 -52.57069341892054   
16 176 14.477394892124972 1.8533206509104125 -98.16505337353317 -9.8165053373533169e+01 -77.86288539345942 -66.247045021783   
17 187 17.142346231838214 1.9085015808681371 -123.95475128876224 -1.2395475128876224e+02 -104.55721445760865 -75.72564940415414   
18 198 20.07725415754528 1.9597449353849503 -151.43777173141675 -1.5143777173141675e+02 -110.72328778091259 -77.38242880625941   
19 209 25.40975799082888 1.957443253034718 -208.5717477906608 -2.0857174779066079e+02 -128.14223282685003 -84.36310166972405   
20 220 32.032335662831535 1.9774877476015336 -259.3485605205107 -2.5934856052051072e+02 -208.00977524200147 -174.69182495955647   
21 231 41.02131787815921 2.066397963445079 -319.22664431184 -3.1922664431184000e+02 -254.93251594221917 -150.90624531554516   
22 242 52.61593088291518 2.0713523437288948 -393.1599165796443 -3.9315991657964429e+02 -321.30506220098226 -191.11818736913895   
23 253 63.73047356490111 2.0686321448776352 -450.0366789624476 -4.5003667896244758e+02 -391.90233831165665 -261.6373368133585   
24 264 78.45522764984264 2.1187676954827936 -542.9593652506976 -5.4295936525069760e+02 -396.37190721595084 -228.74577687634215   
25 275 95.69632595273104 2.1604863127663165 -661.7914375494524 -6.6179143754945244e+02 -562.9594359885141 -469.9108259323375   
26 286 118.23440827527125 2.2453885395620232 -808.9679956726336 -8.0896799567263361e+02 -637.7588445617638 -475.46235141906556   
27 297 140.33285458681735 2.25683642434415 -1028.5832448557755 -1.0285832448557755e+03 -797.2781533329027 -577.0286400109599   
28 308 172.0011207438941 2.2856351519876834 -1324.2228809956132 -1.3242228809956132e+03 -839.658806631655 -629.0618840454682   
29 319 202.1506124940908 2.343877776856457 -1446.1842512204355 -1.4461842512204355e+03 -1171.3747792040979 -853.6784416171599   
30 330 227.87599123671274 2.2793601723073134 -1663.3462079261235 -1.6633462079261235e+03 -1397.514434864178 -978.16229571288   
31 341 277.6486820547697 2.291821774771607 -2179.2922900250655 -2.1792922900250655e+03 -1484.7857288773967 -1190.6994799159227   
32 352 345.44830298661134 2.3756758958606228 -2696.2288439611575 -2.6962288439611575e+03 -2173.6130687504624 -1459.008264674214   
33 363 417.744259233498 2.492543959175739 -3087.675176917096 -3.0876751769170960e+03 -2420.403485064999 -1634.5301861595808   
34 374 546.099360514455 2.52375578990458 -4267.080214632125 -4.2670802146321248e+03 -3146.603681857834 -2019.4133563806415   
35 385 726.689355935395 2.62029939842389 -5619.107398645859 -5.6191073986458587e+03 -4254.45878166194 -3424.2662348565927   
