% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=948845, Mon Dec  9 13:29:48 2019
1 11 -0.0729150104300735 -0.0004707531550383604 0.0014737438400059674 0.0816286217466523 1 1 1 1 1 1 1 1 1 1 1
2 22 -0.14629609707335076 -0.004910140707530283 0.0014285266402992228 0.1054628178118988 1 1 1 1 1 1 1 1 1 1 1
3 33 -0.11263163962316909 -0.0026427332155775974 0.0014438837752292085 0.14624153995965244 1 1 1 1 1 1 1 1 1 1 1
4 44 -0.11358022478302127 -0.00023511440845350542 0.0031769676222454593 0.13397458406801274 1 1 1 1 1 1 1 1 1 1 1
5 55 -0.11941967538208938 -0.002534761644799922 0.0016376977459555359 0.13703011558107261 1 1 1 1 1 1 1 1 1 1 1
6 66 -0.13878413736750828 -0.0011025036898180502 0.005422693897829991 0.17124765392307068 1 1 1 1 1 1 1 1 1 1 1
7 77 -0.18252235536911898 -0.0018935814001113315 0.00397554342126971 0.19973100500386737 1 1 1 1 1 1 1 1 1 1 1
8 88 -0.18349323115078747 -0.012627857295569294 0.00045112029526419184 0.21054265197616923 1 1 1 1 1 1 1 1 1 1 1
9 99 -0.19616675394083422 -0.0022014818182584757 0.011613299870586699 0.24522962503277518 1 1 1 1 1 1 1 1 1 1 1
10 110 -0.18638086680379562 -0.0055775136575273165 0.0036777579956733925 0.23875358023538973 1 1 1 1 1 1 1 1 1 1 1
11 121 -0.18791712012288678 -0.0014072167253547105 0.00383940681741944 0.24477648663454035 1 1 1 1 1 1 1 1 1 1 1
12 132 -0.14680023244165272 -0.00020958960410503004 0.0004737995958813876 0.2549161680020691 1 1 1 1 1 1 1 1 1 1 1
13 143 -0.14786215768149188 -0.0028735921252765074 0.000491467832305223 0.23687699878051402 1 1 1 1 1 1 1 1 1 1 1
14 154 -0.13652706338279744 -0.009198397855240754 0.0033809889257547148 0.2489722899747953 1 1 1 1 1 1 1 1 1 1 1
15 165 -0.15799833686060233 -0.004680938134738782 0.0037419459786510456 0.24159361514975985 1 1 1 1 1 1 1 1 1 1 1
16 176 -0.15811673711548757 -0.003185670787727505 9.336976184172343e-05 0.2197764063090032 1 1 1 1 1 1 1 1 1 1 1
17 187 -0.14719194623901316 -0.0017497780709942185 0.0045408757462778275 0.23535984682709168 1 1 1 1 1 1 1 1 1 1 1
18 198 -0.14337410406231754 -0.003562940428368678 0.0029042740942232114 0.24093184402384235 1 1 1 1 1 1 1 1 1 1 1
19 209 -0.14328603323909364 -0.002083311772125781 0.0015469820629601474 0.22140856335164943 1 1 1 1 1 1 1 1 1 1 1
20 220 -0.1454133653463293 -0.004827220306242809 0.009000680700256907 0.21938141251637353 1 1 1 1 1 1 1 1 1 1 1
21 231 -0.1602525890797613 -0.013296452460686115 0.0040340523939205696 0.23125270450274535 1 1 1 1 1 1 1 1 1 1 1
22 242 -0.1597230180343216 -0.0011903735057009967 0.010508426515906636 0.2393850899285171 1 1 1 1 1 1 1 1 1 1 1
23 253 -0.16458131511564814 -0.006540836242133234 0.00990998693290928 0.2350726008865163 1 1 1 1 1 1 1 1 1 1 1
24 264 -0.1973334726680376 -0.007416568094313406 0.008280440808839183 0.2710026814176939 1 1 1 1 1 1 1 1 1 1 1
25 275 -0.215230573615295 -0.00268675795681716 0.007426448167294374 0.2922190431895788 1 1 1 1 1 1 1 1 1 1 1
26 286 -0.18125397932467502 -0.0004801491823282686 0.005429375757572495 0.288041134439725 1 1 1 1 1 1 1 1 1 1 1
27 297 -0.1825843486622006 -0.0029665767659025673 0.01439908602317679 0.3046980143747702 1 1 1 1 1 1 1 1 1 1 1
28 308 -0.21846921158832128 -0.01384590610151105 0.004551088360017794 0.31366990756433444 1 1 1 1 1 1 1 1 1 1 1
29 319 -0.24883233525422466 -0.02860230997630511 0.005814742436069106 0.2931423384598191 1 1 1 1 1 1 1 1 1 1 1
30 330 -0.24226337656379723 -0.001157585707385333 0.0012441894652138101 0.32378088954067574 1 1 1 1 1 1 1 1 1 1 1
31 341 -0.27720260057233503 -0.0044150701412114576 0.006316136828061168 0.3431122128321223 1 1 1 1 1 1 1 1 1 1 1
32 352 -0.28183541831055176 -0.001537706823843759 0.0014591402597761984 0.3693979354392704 1 1 1 1 1 1 1 1 1 1 1
33 363 -0.2999189696301377 -0.011136613020103703 0.0011127000287431122 0.36697487121435496 1 1 1 1 1 1 1 1 1 1 1
34 374 -0.33522149410383656 -0.004717900985794503 0.0032690879066559677 0.3566459965280077 1 1 1 1 1 1 1 1 1 1 1
35 385 -0.3592007680912463 -0.017583561966297945 0.009234674256303074 0.38573296298853027 1 1 1 1 1 1 1 1 1 1 1
